Droga / Principio Activo;Nombre Comercial;Presentación;Laboratorio;Precio de Venta al Público (PVP);Fecha de extracción;Fuente
Escitalopram;Lexapro;Comp. 10mg x30;Lundbeck;9500;19/08/2026;Estimación propia (dato simulado)
Quetiapina;Seroquel;Comp. 100mg x30;AstraZeneca;11500;19/08/2026;Estimación propia (dato simulado)
Diazepam;Valium;Comp. 10mg x20;Roche;2900;19/08/2026;Estimación propia (dato simulado)
Venlafaxina;Trevilor;Comp. 75mg x30;Pfizer;8900;19/08/2026;Estimación propia (dato simulado)
Risperidona;Risperdal;Comp. 2mg x30;Janssen;7200;19/08/2026;Estimación propia (dato simulado)
Carbonato de litio;Carbolitio;Comp. 300mg x30;Rontag;3400;19/08/2026;Estimación propia (dato simulado)
Omeprazol;Losec;Cáps. 20mg x14;AstraZeneca;3600;19/08/2026;Estimación propia (dato simulado)
Pantoprazol;Pantozol;Comp. 40mg x14;Takeda;4200;19/08/2026;Estimación propia (dato simulado)
Esomeprazol;Nexium;Comp. 40mg x14;AstraZeneca;5800;19/08/2026;Estimación propia (dato simulado)
Salbutamol;Ventolin;Aerosol 200 dosis;GSK;3200;19/08/2026;Estimación propia (dato simulado)
Budesonide + Formoterol;Symbicort;Aerosol 120 dosis;AstraZeneca;18500;19/08/2026;Estimación propia (dato simulado)
Loratadina;Clarityne;Comp. 10mg x10;Bayer;2600;19/08/2026;Estimación propia (dato simulado)
Ambroxol;Mucosolvan;Jarabe 120ml;Sanofi;2400;19/08/2026;Estimación propia (dato simulado)
Levotiroxina sódica;Levotiroxina Montpellier;Comp. 100mcg x50;Montpellier;2900;19/08/2026;Estimación propia (dato simulado)
Acenocumarol;Sintrom;Comp. 4mg x20;Novartis;2200;19/08/2026;Estimación propia (dato simulado)
Ácido valproico;Logical;Comp. 500mg x30;Sanofi;4800;19/08/2026;Estimación propia (dato simulado)
Furosemida;Lasix;Comp. 40mg x20;Sanofi;2100;19/08/2026;Estimación propia (dato simulado)
Ácido acetilsalicílico (cardio);Aspirinetas;Comp. 100mg x30;Bayer;1400;19/08/2026;Estimación propia (dato simulado)
Metoclopramida;Reliverán;Gotas 20ml;Gador;2000;19/08/2026;Estimación propia (dato simulado)
Domperidona;Motilium;Comp. 10mg x30;Janssen;3300;19/08/2026;Estimación propia (dato simulado)
Prednisona;Meticorten;Comp. 20mg x20;Schering-Plough;2700;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno (pediátrico);Ibupirac Flex Pediátrico;Jarabe 100ml;Bagó;2300;19/08/2026;Estimación propia (dato simulado)
Vitamina D3 (Colecalciferol);Vitamina D3 Raffo;Gotas 10ml;Raffo;3100;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x16;Gador;1860;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x20;Gador;2330;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x30;Gador;3350;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x40;Gador;4370;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x50;Gador;5400;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x100;Gador;9840;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x200;Gador;17280;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x400;Gador;29760;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x600;Gador;39600;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol;Comp. 500mg x1000;Gador;57600;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Forte;Comp. 650mg x10;Gador;1500;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Forte;Comp. 650mg x20;Gador;2910;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Forte;Comp. 650mg x30;Gador;4180;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Forte;Comp. 650mg x50;Gador;6750;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Forte;Comp. 650mg x100;Gador;12300;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Forte;Comp. 650mg x400;Gador;37200;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Forte;Comp. 650mg x600;Gador;49500;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol 1 g;Comp. 1000mg x10;Gador;2100;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol 1 g;Comp. 1000mg x20;Gador;4070;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol 1 g;Comp. 1000mg x30;Gador;5860;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol 1 g;Comp. 1000mg x50;Gador;9450;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol 1 g;Comp. 1000mg x100;Gador;17220;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol 1 g;Comp. 1000mg x400;Gador;52080;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Genérico (droguería);Comp. 500mg x1000 (bulk hospitalario);Laboratorio Genérico;51840;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Gotas;Gotas 100mg/ml x15ml;Gador;1350;19/08/2026;Estimación propia (dato simulado)
Paracetamol;Tafirol Jarabe;Jarabe 120mg/5ml x120ml;Gador;1650;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac;Comp. 400mg x20;Bagó;3490;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac;Comp. 400mg x30;Bagó;5020;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac;Comp. 400mg x50;Bagó;8100;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac;Comp. 400mg x100;Bagó;14760;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac;Comp. 400mg x200;Bagó;25920;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac;Comp. 400mg x400;Bagó;44640;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac 600;Comp. 600mg x10;Bagó;2430;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac 600;Comp. 600mg x20;Bagó;4710;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac 600;Comp. 600mg x30;Bagó;6780;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac 600;Comp. 600mg x50;Bagó;10940;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac 600;Comp. 600mg x100;Bagó;19930;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac Flex;Cáps. blandas 400mg x10;Bagó;2070;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac Flex;Cáps. blandas 400mg x20;Bagó;4020;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac Flex;Cáps. blandas 400mg x30;Bagó;5780;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac Flex;Cáps. blandas 400mg x50;Bagó;9320;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac Suspensión 2%;Suspensión pediátrica 100mg/5ml x100ml;Bagó;2100;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac Suspensión 4%;Suspensión pediátrica 200mg/5ml x100ml;Bagó;2650;19/08/2026;Estimación propia (dato simulado)
Diclofenac sódico;Voltaren;Comp. 50mg x20;GSK;4270;19/08/2026;Estimación propia (dato simulado)
Diclofenac sódico;Voltaren;Comp. 50mg x30;GSK;6140;19/08/2026;Estimación propia (dato simulado)
Diclofenac sódico;Voltaren;Comp. 50mg x50;GSK;9900;19/08/2026;Estimación propia (dato simulado)
Diclofenac sódico;Voltaren;Comp. 50mg x100;GSK;18040;19/08/2026;Estimación propia (dato simulado)
Diclofenac sódico;Voltaren Emulgel;Gel tópico 1% x60g;GSK;4200;19/08/2026;Estimación propia (dato simulado)
Diclofenac sódico;Voltaren Emulgel;Gel tópico 1% x100g;GSK;6200;19/08/2026;Estimación propia (dato simulado)
Diclofenac + Vitamina B1-B6-B12;Lumbociatalgin;Comp. x10;Química Montpellier;3100;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal;Comp. 500mg x16;Roemmers;6210;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal;Comp. 500mg x21;Roemmers;7810;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal;Comp. 500mg x24;Roemmers;8930;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal;Comp. 500mg x30;Roemmers;11160;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal;Comp. 500mg x50;Roemmers;18000;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal;Comp. 500mg x100;Roemmers;32800;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal Duo;Comp. 875mg x8;Roemmers;5120;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal Duo;Comp. 875mg x16;Roemmers;9930;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal Duo;Comp. 875mg x21;Roemmers;12500;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal Susp.;Suspensión 500mg/5ml x60ml;Roemmers;3400;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal Pediátrico;Suspensión 250mg/5ml x60ml;Roemmers;2600;19/08/2026;Estimación propia (dato simulado)
Amoxicilina + Ác. Clavulánico;Clavulin;Comp. 875/125mg x8;GSK;4880;19/08/2026;Estimación propia (dato simulado)
Amoxicilina + Ác. Clavulánico;Clavulin;Comp. 875/125mg x21;GSK;11910;19/08/2026;Estimación propia (dato simulado)
Amoxicilina + Ác. Clavulánico;Clavulin Duo;Suspensión 875/125mg x70ml;GSK;7200;19/08/2026;Estimación propia (dato simulado)
Azitromicina;Zitromax;Comp. 500mg x6;Pfizer;8400;19/08/2026;Estimación propia (dato simulado)
Ciprofloxacina;Ciproxina;Comp. 500mg x20;Bayer;10090;19/08/2026;Estimación propia (dato simulado)
Ciprofloxacina;Ciproxina;Comp. 500mg x30;Bayer;14510;19/08/2026;Estimación propia (dato simulado)
Cefalexina;Cefalexina Richet;Comp. 500mg x16;Richet;6980;19/08/2026;Estimación propia (dato simulado)
Cefalexina;Cefalexina Richet;Comp. 500mg x24;Richet;10040;19/08/2026;Estimación propia (dato simulado)
Claritromicina;Klaricid;Comp. 500mg x7;Abbott;4900;19/08/2026;Estimación propia (dato simulado)
Levofloxacina;Levaquin;Comp. 500mg x10;Sanofi;6500;19/08/2026;Estimación propia (dato simulado)
Levofloxacina;Levaquin;Comp. 500mg x20;Sanofi;12610;19/08/2026;Estimación propia (dato simulado)
Doxiciclina;Doxiciclina Denver;Comp. 100mg x8;Denver Farma;2240;19/08/2026;Estimación propia (dato simulado)
Doxiciclina;Doxiciclina Denver;Comp. 100mg x15;Denver Farma;4070;19/08/2026;Estimación propia (dato simulado)
Doxiciclina;Doxiciclina Denver;Comp. 100mg x30;Denver Farma;7810;19/08/2026;Estimación propia (dato simulado)
Nitrofurantoína;Nitrofurantoína Northia;Comp. 100mg x10;Northia;3000;19/08/2026;Estimación propia (dato simulado)
Nitrofurantoína;Nitrofurantoína Northia;Comp. 100mg x20;Northia;5820;19/08/2026;Estimación propia (dato simulado)
Metronidazol;Flagyl;Comp. 500mg x10;Sanofi;3200;19/08/2026;Estimación propia (dato simulado)
Metronidazol;Flagyl;Comp. 500mg x20;Sanofi;6210;19/08/2026;Estimación propia (dato simulado)
Fluconazol;Fluconazol Richet;Cáps. 150mg x1;Richet;1200;19/08/2026;Estimación propia (dato simulado)
Fluconazol;Fluconazol Richet;Cáps. 150mg x3;Richet;3600;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex;Comp. x10;MSD;1500;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex;Comp. x20;MSD;2910;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex;Comp. x30;MSD;4180;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex;Comp. x50;MSD;6750;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex;Comp. x60;MSD;7920;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex;Comp. x100;MSD;12300;19/08/2026;Estimación propia (dato simulado)
Enalapril;Renitec;Comp. x10;MSD;1070;19/08/2026;Estimación propia (dato simulado)
Enalapril;Renitec;Comp. x20;MSD;2080;19/08/2026;Estimación propia (dato simulado)
Enalapril;Renitec;Comp. x30;MSD;2990;19/08/2026;Estimación propia (dato simulado)
Enalapril;Renitec;Comp. x50;MSD;4820;19/08/2026;Estimación propia (dato simulado)
Enalapril;Renitec;Comp. x60;MSD;5650;19/08/2026;Estimación propia (dato simulado)
Enalapril;Renitec;Comp. x100;MSD;8770;19/08/2026;Estimación propia (dato simulado)
Amlodipina;Amlopin;Comp. x10;Gador;1270;19/08/2026;Estimación propia (dato simulado)
Amlodipina;Amlopin;Comp. x20;Gador;2460;19/08/2026;Estimación propia (dato simulado)
Amlodipina;Amlopin;Comp. x30;Gador;3540;19/08/2026;Estimación propia (dato simulado)
Amlodipina;Amlopin;Comp. x50;Gador;5720;19/08/2026;Estimación propia (dato simulado)
Amlodipina;Amlopin;Comp. x60;Gador;6710;19/08/2026;Estimación propia (dato simulado)
Amlodipina;Amlopin;Comp. x100;Gador;10410;19/08/2026;Estimación propia (dato simulado)
Atenolol;Atenolol Gador;Comp. x10;Gador;930;19/08/2026;Estimación propia (dato simulado)
Atenolol;Atenolol Gador;Comp. x20;Gador;1800;19/08/2026;Estimación propia (dato simulado)
Atenolol;Atenolol Gador;Comp. x30;Gador;2590;19/08/2026;Estimación propia (dato simulado)
Atenolol;Atenolol Gador;Comp. x50;Gador;4180;19/08/2026;Estimación propia (dato simulado)
Atenolol;Atenolol Gador;Comp. x60;Gador;4910;19/08/2026;Estimación propia (dato simulado)
Atenolol;Atenolol Gador;Comp. x100;Gador;7630;19/08/2026;Estimación propia (dato simulado)
Valsartán;Diovan;Comp. x10;Novartis;2320;19/08/2026;Estimación propia (dato simulado)
Valsartán;Diovan;Comp. x20;Novartis;4500;19/08/2026;Estimación propia (dato simulado)
Valsartán;Diovan;Comp. x30;Novartis;6470;19/08/2026;Estimación propia (dato simulado)
Valsartán;Diovan;Comp. x50;Novartis;10440;19/08/2026;Estimación propia (dato simulado)
Valsartán;Diovan;Comp. x60;Novartis;12250;19/08/2026;Estimación propia (dato simulado)
Valsartán;Diovan;Comp. x100;Novartis;19020;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex Forte;Comp. 100mg x30;MSD;6700;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex Forte;Comp. 100mg x60;MSD;12670;19/08/2026;Estimación propia (dato simulado)
Hidroclorotiazida;Hidroclorotiazida Northia;Comp. x10;Northia;700;19/08/2026;Estimación propia (dato simulado)
Hidroclorotiazida;Hidroclorotiazida Northia;Comp. x20;Northia;1360;19/08/2026;Estimación propia (dato simulado)
Hidroclorotiazida;Hidroclorotiazida Northia;Comp. x30;Northia;1950;19/08/2026;Estimación propia (dato simulado)
Espironolactona;Aldactone-A;Comp. x10;Pfizer;1400;19/08/2026;Estimación propia (dato simulado)
Espironolactona;Aldactone-A;Comp. x20;Pfizer;2720;19/08/2026;Estimación propia (dato simulado)
Espironolactona;Aldactone-A;Comp. x30;Pfizer;3910;19/08/2026;Estimación propia (dato simulado)
Bisoprolol;Biso Denver;Comp. x10;Denver Farma;1200;19/08/2026;Estimación propia (dato simulado)
Bisoprolol;Biso Denver;Comp. x20;Denver Farma;2330;19/08/2026;Estimación propia (dato simulado)
Bisoprolol;Biso Denver;Comp. x30;Denver Farma;3350;19/08/2026;Estimación propia (dato simulado)
Carvedilol;Carvedilol Gador;Comp. x10;Gador;1350;19/08/2026;Estimación propia (dato simulado)
Carvedilol;Carvedilol Gador;Comp. x20;Gador;2620;19/08/2026;Estimación propia (dato simulado)
Carvedilol;Carvedilol Gador;Comp. x30;Gador;3770;19/08/2026;Estimación propia (dato simulado)
Digoxina;Lanoxin;Comp. 0.25mg x30;Aspen;2510;19/08/2026;Estimación propia (dato simulado)
Clopidogrel;Plavix;Comp. 75mg x28;Sanofi;8590;19/08/2026;Estimación propia (dato simulado)
Enoxaparina;Clexane;Jeringa prellenada 40mg x1;Sanofi;8900;19/08/2026;Estimación propia (dato simulado)
Enoxaparina;Clexane;Jeringa prellenada 60mg x1;Sanofi;11200;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 500mg x30;Merck;3260;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 500mg x50;Merck;5260;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 500mg x60;Merck;6180;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 500mg x100;Merck;9590;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 850mg x50;Merck;8420;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 850mg x60;Merck;9880;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 850mg x100;Merck;15350;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 1000mg x30;Merck;6040;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 1000mg x50;Merck;9740;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 1000mg x60;Merck;11430;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 1000mg x100;Merck;17750;19/08/2026;Estimación propia (dato simulado)
Glibenclamida;Daonil;Comp. 5mg x60;Sanofi;4750;19/08/2026;Estimación propia (dato simulado)
Sitagliptina + Metformina;Janumet;Comp. 50/1000mg x56;MSD;70160;19/08/2026;Estimación propia (dato simulado)
Insulina NPH;Novolin N;Frasco 10ml x100UI/ml;Novo Nordisk;12500;19/08/2026;Estimación propia (dato simulado)
Insulina Corriente/Rápida;Novolin R;Frasco 10ml x100UI/ml;Novo Nordisk;12200;19/08/2026;Estimación propia (dato simulado)
Insulina Glargina;Lantus SoloStar;Lapicera precargada 3ml x5u;Sanofi;38500;19/08/2026;Estimación propia (dato simulado)
Insulina Aspártica;NovoRapid FlexPen;Lapicera precargada 3ml x5u;Novo Nordisk;41500;19/08/2026;Estimación propia (dato simulado)
Empagliflozina;Jardiance;Comp. 10mg x30;Boehringer Ingelheim;33480;19/08/2026;Estimación propia (dato simulado)
Atorvastatina;Lipitor;Comp. 10mg x10;Pfizer;2270;19/08/2026;Estimación propia (dato simulado)
Atorvastatina;Lipitor;Comp. 10mg x30;Pfizer;6330;19/08/2026;Estimación propia (dato simulado)
Atorvastatina;Lipitor;Comp. 20mg x10;Pfizer;3060;19/08/2026;Estimación propia (dato simulado)
Atorvastatina;Lipitor;Comp. 40mg x10;Pfizer;3970;19/08/2026;Estimación propia (dato simulado)
Atorvastatina;Lipitor;Comp. 40mg x30;Pfizer;11080;19/08/2026;Estimación propia (dato simulado)
Atorvastatina;Lipitor;Comp. 80mg x10;Pfizer;5220;19/08/2026;Estimación propia (dato simulado)
Atorvastatina;Lipitor;Comp. 80mg x30;Pfizer;14570;19/08/2026;Estimación propia (dato simulado)
Rosuvastatina;Crestor;Comp. 5mg x10;AstraZeneca;1880;19/08/2026;Estimación propia (dato simulado)
Rosuvastatina;Crestor;Comp. 5mg x30;AstraZeneca;5230;19/08/2026;Estimación propia (dato simulado)
Rosuvastatina;Crestor;Comp. 10mg x10;AstraZeneca;2500;19/08/2026;Estimación propia (dato simulado)
Rosuvastatina;Crestor;Comp. 20mg x10;AstraZeneca;3500;19/08/2026;Estimación propia (dato simulado)
Rosuvastatina;Crestor;Comp. 20mg x30;AstraZeneca;9760;19/08/2026;Estimación propia (dato simulado)
Ezetimibe;Ezetrol;Comp. 10mg x28;MSD;7290;19/08/2026;Estimación propia (dato simulado)
Ezetimibe + Atorvastatina;Ezetrol Duo;Comp. 10/20mg x30;MSD;11160;19/08/2026;Estimación propia (dato simulado)
Sertralina;Zoloft;Comp. 50mg x60;Pfizer;14410;19/08/2026;Estimación propia (dato simulado)
Sertralina;Zoloft;Comp. 100mg x30;Pfizer;12190;19/08/2026;Estimación propia (dato simulado)
Sertralina;Zoloft;Comp. 100mg x60;Pfizer;23060;19/08/2026;Estimación propia (dato simulado)
Alprazolam;Alplax;Comp. 0.25mg x30;Gador;2540;19/08/2026;Estimación propia (dato simulado)
Alprazolam;Alplax;Comp. 0.25mg x60;Gador;4800;19/08/2026;Estimación propia (dato simulado)
Alprazolam;Alplax;Comp. 0.5mg x60;Gador;6860;19/08/2026;Estimación propia (dato simulado)
Alprazolam;Alplax;Comp. 1mg x30;Gador;5440;19/08/2026;Estimación propia (dato simulado)
Alprazolam;Alplax;Comp. 1mg x60;Gador;10300;19/08/2026;Estimación propia (dato simulado)
Alprazolam;Alplax;Comp. 2mg x30;Gador;8700;19/08/2026;Estimación propia (dato simulado)
Alprazolam;Alplax;Comp. 2mg x60;Gador;16470;19/08/2026;Estimación propia (dato simulado)
Clonazepam;Rivotril;Comp. 2mg x30;Roche;10940;19/08/2026;Estimación propia (dato simulado)
Quetiapina;Seroquel;Comp. 25mg x30;AstraZeneca;4270;19/08/2026;Estimación propia (dato simulado)
Quetiapina;Seroquel;Comp. 25mg x60;AstraZeneca;8090;19/08/2026;Estimación propia (dato simulado)
Quetiapina;Seroquel;Comp. 100mg x60;AstraZeneca;20220;19/08/2026;Estimación propia (dato simulado)
Quetiapina;Seroquel;Comp. 200mg x30;AstraZeneca;18170;19/08/2026;Estimación propia (dato simulado)
Quetiapina;Seroquel;Comp. 200mg x60;AstraZeneca;34380;19/08/2026;Estimación propia (dato simulado)
Quetiapina;Seroquel;Comp. 300mg x30;AstraZeneca;24580;19/08/2026;Estimación propia (dato simulado)
Quetiapina;Seroquel;Comp. 300mg x60;AstraZeneca;46510;19/08/2026;Estimación propia (dato simulado)
Clonazepam;Rivotril Gotas;Gotas 2.5mg/ml x10ml;Roche;3900;19/08/2026;Estimación propia (dato simulado)
Fluoxetina;Prozac;Comp. 20mg x60;Eli Lilly;11460;19/08/2026;Estimación propia (dato simulado)
Escitalopram;Lexapro;Comp. 20mg x30;Lundbeck;15040;19/08/2026;Estimación propia (dato simulado)
Diazepam;Valium;Comp. 5mg x20;Roche;1690;19/08/2026;Estimación propia (dato simulado)
Venlafaxina;Trevilor XR;Comp. 150mg x30;Pfizer;14090;19/08/2026;Estimación propia (dato simulado)
Risperidona;Risperdal;Comp. 1mg x30;Janssen;4350;19/08/2026;Estimación propia (dato simulado)
Duloxetina;Cymbalta;Cáps. 30mg x28;Eli Lilly;9370;19/08/2026;Estimación propia (dato simulado)
Duloxetina;Cymbalta;Cáps. 60mg x28;Eli Lilly;15940;19/08/2026;Estimación propia (dato simulado)
Mirtazapina;Remeron;Comp. 30mg x30;Organon;8370;19/08/2026;Estimación propia (dato simulado)
Bupropion;Wellbutrin;Comp. 150mg x30;GSK;8650;19/08/2026;Estimación propia (dato simulado)
Olanzapina;Zyprexa;Comp. 10mg x28;Eli Lilly;10940;19/08/2026;Estimación propia (dato simulado)
Haloperidol;Haloperidol Gador;Comp. 5mg x30;Gador;2650;19/08/2026;Estimación propia (dato simulado)
Haloperidol;Haloperidol Gador Gotas;Gotas 2mg/ml x20ml;Gador;2200;19/08/2026;Estimación propia (dato simulado)
Biperideno;Akineton;Comp. 2mg x20;Desma;2910;19/08/2026;Estimación propia (dato simulado)
Topiramato;Topamax;Comp. 50mg x30;Janssen;7810;19/08/2026;Estimación propia (dato simulado)
Carbamazepina;Tegretol;Comp. 200mg x40;Novartis;5460;19/08/2026;Estimación propia (dato simulado)
Lamotrigina;Lamictal;Comp. 100mg x30;GSK;9760;19/08/2026;Estimación propia (dato simulado)
